[OK ] 2022-11-10 21:12:04	 connected on 192.168.1.123:3101
[INF] 2022-11-10 21:12:06	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-10 21:12:07	 TRYING TO CONNECT TO http://192.168.1.123:3100
[OK ] 2022-11-10 21:12:07	 192.168.1.123:3101 has connected
[INF] 2022-11-10 21:12:07	 The master is 192.168.1.123:3100
[INF] 2022-11-10 21:12:10	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:12:10	 SENDING MAP TO FIRST JOINER
[INF] 2022-11-10 21:12:10	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:12:10	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3101
[OK ] 2022-11-10 21:12:10	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:12:10	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:12:14	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:12:14	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:12:14	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:12:14	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:12:18	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
